time,.data
2020/04/03/19:47:13.905309,"(-10.056838989257812, -0.307647705078125, -0.41778564453125)"
2020/04/03/19:47:14.009379,"(-10.061630249023438, -0.332794189453125, -0.41180419921875)"
2020/04/03/19:47:14.112727,"(-10.1226806640625, -0.33160400390625, -0.41180419921875)"
2020/04/03/19:47:14.220117,"(-10.135848999023438, -0.3136444091796875, -0.3890533447265625)"
2020/04/03/19:47:14.322335,"(-10.224441528320312, -0.3160400390625, -0.3351898193359375)"
2020/04/03/19:47:14.423643,"(-10.201690673828125, -0.31243896484375, -0.4189910888671875)"
2020/04/03/19:47:14.525182,"(-10.152618408203125, -0.326812744140625, -0.444122314453125)"
2020/04/03/19:47:14.629650,"(-10.158599853515625, -0.295684814453125, -0.391448974609375)"
2020/04/03/19:47:14.734301,"(-10.060440063476562, -0.3292083740234375, -0.444122314453125)"
2020/04/03/19:47:14.838906,"(-10.081985473632812, -0.3244171142578125, -0.3902587890625)"
2020/04/03/19:47:14.944454,"(-10.137054443359375, -0.342376708984375, -0.4022216796875)"
2020/04/03/19:47:15.045387,"(-10.123886108398438, -0.307647705078125, -0.3890533447265625)"
2020/04/03/19:47:15.146811,"(-10.19091796875, -0.33758544921875, -0.3663177490234375)"
2020/04/03/19:47:15.251342,"(-10.194503784179688, -0.322021484375, -0.359130859375)"
2020/04/03/19:47:15.355774,"(-10.155014038085938, -0.311248779296875, -0.3507537841796875)"
2020/04/03/19:47:15.460644,"(-10.133453369140625, -0.326812744140625, -0.359130859375)"
2020/04/03/19:47:15.564714,"(-10.0736083984375, -0.30645751953125, -0.428558349609375)"
2020/04/03/19:47:15.670880,"(-10.066421508789062, -0.3196258544921875, -0.4261627197265625)"
2020/04/03/19:47:15.772739,"(-10.123886108398438, -0.5722198486328125, -0.07421875)"
2020/04/03/19:47:15.874203,"(-10.605117797851562, -0.359130859375, 0.354339599609375)"
2020/04/03/19:47:15.976157,"(-10.007766723632812, -0.2094879150390625, -0.9864044189453125)"
2020/04/03/19:47:16.081457,"(-9.734817504882812, -0.6775665283203125, 0.4094085693359375)"
2020/04/03/19:47:16.182950,"(-10.007766723632812, -0.073028564453125, -1.3658905029296875)"
2020/04/03/19:47:16.285356,"(-9.756378173828125, -0.3986358642578125, -0.3830718994140625)"
2020/04/03/19:47:16.389392,"(-10.103530883789062, -0.348358154296875, -0.8319854736328125)"
2020/04/03/19:47:16.495173,"(-9.737213134765625, -0.5303192138671875, 0.317230224609375)"
2020/04/03/19:47:16.599201,"(-10.293869018554688, -0.487213134765625, -0.5159454345703125)"
2020/04/03/19:47:16.703441,"(-10.059234619140625, -0.6787567138671875, 0.338775634765625)"
2020/04/03/19:47:16.806835,"(-10.123886108398438, -0.396240234375, -0.4728546142578125)"
2020/04/03/19:47:16.911132,"(-9.611526489257812, -0.5901641845703125, -0.1041412353515625)"
2020/04/03/19:47:17.016999,"(-9.589981079101562, -0.4357452392578125, -0.6991119384765625)"
2020/04/03/19:47:17.122048,"(-9.8748779296875, -0.4824371337890625, -0.0406951904296875)"
2020/04/03/19:47:17.223704,"(-10.521316528320312, -0.4716644287109375, -0.375885009765625)"
2020/04/03/19:47:17.329042,"(-10.162185668945312, -0.7098846435546875, 0.34954833984375)"
2020/04/03/19:47:17.433050,"(-9.979034423828125, -0.5734100341796875, -0.555450439453125)"
2020/04/03/19:47:17.538300,"(-9.753982543945312, -0.618896484375, -0.3028717041015625)"
2020/04/03/19:47:17.641746,"(-9.48822021484375, -0.6153106689453125, -0.544677734375)"
2020/04/03/19:47:17.746011,"(-9.71087646484375, -0.7003021240234375, 0.1173095703125)"
2020/04/03/19:47:17.851408,"(-10.113113403320312, -0.6368560791015625, 0.174774169921875)"
2020/04/03/19:47:17.955934,"(-9.88446044921875, -0.60333251953125, 0.0227508544921875)"
2020/04/03/19:47:18.059860,"(-10.240005493164062, -0.592559814453125, -0.375885009765625)"
2020/04/03/19:47:18.166262,"(-10.065231323242188, -0.3926544189453125, -0.7841033935546875)"
2020/04/03/19:47:18.271201,"(-10.211273193359375, -0.4141998291015625, -1.088165283203125)"
2020/04/03/19:47:18.372626,"(-9.939529418945312, -0.459686279296875, -0.3028717041015625)"
2020/04/03/19:47:18.477866,"(-10.242401123046875, -0.5051727294921875, -0.2286529541015625)"
2020/04/03/19:47:18.581734,"(-10.48779296875, -0.40582275390625, 0.44293212890625)"
2020/04/03/19:47:18.684037,"(-10.500961303710938, -0.4249725341796875, 0.0299224853515625)"
2020/04/03/19:47:18.785922,"(-10.44830322265625, -0.565032958984375, 0.08380126953125)"
2020/04/03/19:47:18.890169,"(-10.195709228515625, -0.3519439697265625, -0.7146759033203125)"
