time,.data
2020/04/03/19:48:06.240061,"(-3.4799652099609375, -0.259765625, -9.740814208984375)"
2020/04/03/19:48:06.343915,"(-3.42730712890625, -0.31243896484375, -9.765945434570312)"
2020/04/03/19:48:06.448319,"(-3.343505859375, -0.23822021484375, -9.764755249023438)"
2020/04/03/19:48:06.553302,"(-3.3506927490234375, -0.2669525146484375, -9.829391479492188)"
2020/04/03/19:48:06.658475,"(-3.37103271484375, -0.237030029296875, -9.858123779296875)"
2020/04/03/19:48:06.759328,"(-3.211822509765625, -0.280120849609375, -9.88446044921875)"
2020/04/03/19:48:06.860850,"(-3.2357635498046875, -0.2825164794921875, -9.840164184570312)"
2020/04/03/19:48:06.966102,"(-3.2082366943359375, -0.258575439453125, -9.849746704101562)"
2020/04/03/19:48:07.069731,"(-3.2621002197265625, -0.2729339599609375, -9.854537963867188)"
2020/04/03/19:48:07.174020,"(-3.32196044921875, -0.20111083984375, -9.811431884765625)"
2020/04/03/19:48:07.280112,"(-3.3147735595703125, -0.259765625, -9.8629150390625)"
2020/04/03/19:48:07.383123,"(-3.269287109375, -0.1975250244140625, -9.9000244140625)"
2020/04/03/19:48:07.487450,"(-3.313568115234375, -0.211883544921875, -9.85693359375)"
2020/04/03/19:48:07.594587,"(-3.18548583984375, -0.2418212890625, -9.901214599609375)"
2020/04/03/19:48:07.697001,"(-3.1088714599609375, -0.270538330078125, -9.888046264648438)"
2020/04/03/19:48:07.799985,"(-2.99993896484375, -0.301666259765625, -9.871292114257812)"
2020/04/03/19:48:07.906672,"(-3.0358428955078125, -0.3028717041015625, -9.903610229492188)"
2020/04/03/19:48:08.008698,"(-2.995147705078125, -0.22625732421875, -9.912002563476562)"
2020/04/03/19:48:08.111164,"(-2.9723968505859375, -0.2513885498046875, -9.868896484375)"
2020/04/03/19:48:08.212764,"(-2.8909912109375, -0.284912109375, -9.951492309570312)"
2020/04/03/19:48:08.316873,"(-2.8981781005859375, -0.2920989990234375, -9.896438598632812)"
2020/04/03/19:48:08.421811,"(-2.7856597900390625, -0.2920989990234375, -9.903610229492188)"
2020/04/03/19:48:08.522433,"(-2.880218505859375, -0.26934814453125, -9.969451904296875)"
2020/04/03/19:48:08.625043,"(-2.8921966552734375, -0.22625732421875, -9.923965454101562)"
2020/04/03/19:48:08.729711,"(-2.7341766357421875, -0.296875, -9.975448608398438)"
2020/04/03/19:48:08.833955,"(-2.80120849609375, -0.22625732421875, -10.00537109375)"
2020/04/03/19:48:08.937919,"(-2.7437591552734375, -0.2920989990234375, -9.98980712890625)"
2020/04/03/19:48:09.044922,"(-2.731781005859375, -0.2669525146484375, -9.998184204101562)"
2020/04/03/19:48:09.146888,"(-2.614471435546875, -0.295684814453125, -10.03289794921875)"
2020/04/03/19:48:09.249697,"(-2.60968017578125, -0.280120849609375, -10.0113525390625)"
2020/04/03/19:48:09.350490,"(-2.60369873046875, -0.2813262939453125, -10.000579833984375)"
2020/04/03/19:48:09.455961,"(-2.700653076171875, -0.248992919921875, -10.056838989257812)"
2020/04/03/19:48:09.559295,"(-2.592926025390625, -0.259765625, -9.956283569335938)"
2020/04/03/19:48:09.662660,"(-2.530670166015625, -0.30047607421875, -10.0364990234375)"
2020/04/03/19:48:09.763746,"(-2.583343505859375, -0.26336669921875, -10.008956909179688)"
2020/04/03/19:48:09.868219,"(-2.573760986328125, -0.237030029296875, -10.1107177734375)"
2020/04/03/19:48:09.972526,"(-2.5498199462890625, -0.22625732421875, -10.067611694335938)"
2020/04/03/19:48:10.076019,"(-2.5175018310546875, -0.274139404296875, -10.0364990234375)"
2020/04/03/19:48:10.184708,"(-2.530670166015625, -0.2561798095703125, -9.941925048828125)"
2020/04/03/19:48:10.286750,"(-2.54144287109375, -0.2561798095703125, -9.9993896484375)"
2020/04/03/19:48:10.390972,"(-2.5426483154296875, -0.264556884765625, -10.080780029296875)"
2020/04/03/19:48:10.496644,"(-2.450469970703125, -0.2358245849609375, -10.056838989257812)"
2020/04/03/19:48:10.598857,"(-2.456451416015625, -0.270538330078125, -10.115509033203125)"
2020/04/03/19:48:10.704036,"(-2.41455078125, -0.2908935546875, -10.0364990234375)"
2020/04/03/19:48:10.810049,"(-2.34033203125, -0.295684814453125, -10.068817138671875)"
2020/04/03/19:48:10.912583,"(-2.31878662109375, -0.2765350341796875, -10.040084838867188)"
2020/04/03/19:48:11.016893,"(-2.2637176513671875, -0.280120849609375, -10.024520874023438)"
2020/04/03/19:48:11.120875,"(-2.245758056640625, -0.3088531494140625, -10.002975463867188)"
2020/04/03/19:48:11.223043,"(-2.376251220703125, -0.20111083984375, -10.133453369140625)"
2020/04/03/19:48:11.327496,"(-2.4480743408203125, -0.180755615234375, -10.143035888671875)"
2020/04/03/19:48:11.430327,"(-2.21942138671875, -0.2980804443359375, -10.13226318359375)"
2020/04/03/19:48:11.534297,"(-2.0985107421875, -0.3447723388671875, -10.007766723632812)"
2020/04/03/19:48:11.637290,"(-2.1428070068359375, -0.326812744140625, -10.006561279296875)"
2020/04/03/19:48:11.742648,"(-2.1236572265625, -0.3040618896484375, -10.133453369140625)"
2020/04/03/19:48:11.843126,"(-2.2649078369140625, -0.20709228515625, -10.127471923828125)"
2020/04/03/19:48:11.945838,"(-2.140411376953125, -0.2825164794921875, -10.141845703125)"
2020/04/03/19:48:12.050128,"(-2.2170257568359375, -0.2250518798828125, -10.109512329101562)"
2020/04/03/19:48:12.154832,"(-2.14520263671875, -0.2765350341796875, -10.08917236328125)"
2020/04/03/19:48:12.258745,"(-2.0937347412109375, -0.2873077392578125, -10.071212768554688)"
2020/04/03/19:48:12.360363,"(-2.091339111328125, -0.268157958984375, -10.105926513671875)"
2020/04/03/19:48:12.462752,"(-2.15478515625, -0.252593994140625, -10.139450073242188)"
2020/04/03/19:48:12.568431,"(-2.1320343017578125, -0.2657623291015625, -10.171768188476562)"
2020/04/03/19:48:12.672343,"(-2.10211181640625, -0.2465972900390625, -10.266342163085938)"
2020/04/03/19:48:12.777532,"(-2.2349853515625, -0.199920654296875, -10.217254638671875)"
2020/04/03/19:48:12.880589,"(-2.013519287109375, -0.301666259765625, -10.1849365234375)"
2020/04/03/19:48:12.984336,"(-1.871063232421875, -0.401031494140625, -10.087966918945312)"
2020/04/03/19:48:13.091410,"(-1.9321136474609375, -0.338775634765625, -10.066421508789062)"
2020/04/03/19:48:13.193162,"(-1.865081787109375, -0.295684814453125, -10.104721069335938)"
2020/04/03/19:48:13.298331,"(-1.871063232421875, -0.2813262939453125, -10.198104858398438)"
2020/04/03/19:48:13.401996,"(-1.9560699462890625, -0.30047607421875, -10.146621704101562)"
2020/04/03/19:48:13.507579,"(-1.886627197265625, -0.289703369140625, -10.186126708984375)"
2020/04/03/19:48:13.611870,"(-1.8890228271484375, -0.2717437744140625, -10.1107177734375)"
2020/04/03/19:48:13.715728,"(-1.8758544921875, -0.3184356689453125, -10.170562744140625)"
2020/04/03/19:48:13.819104,"(-1.886627197265625, -0.296875, -10.146621704101562)"
2020/04/03/19:48:13.923708,"(-1.8315582275390625, -0.323211669921875, -10.1478271484375)"
2020/04/03/19:48:14.031074,"(-1.8686676025390625, -0.264556884765625, -10.164581298828125)"
2020/04/03/19:48:14.133074,"(-1.82318115234375, -0.33160400390625, -10.10711669921875)"
2020/04/03/19:48:14.237077,"(-1.8578948974609375, -0.2729339599609375, -10.08917236328125)"
2020/04/03/19:48:14.344428,"(-1.7980499267578125, -0.247802734375, -10.170562744140625)"
2020/04/03/19:48:14.447042,"(-1.853118896484375, -0.289703369140625, -10.172958374023438)"
2020/04/03/19:48:14.551533,"(-1.7765045166015625, -0.2717437744140625, -10.218460083007812)"
2020/04/03/19:48:14.655046,"(-1.7405853271484375, -0.2789306640625, -10.216064453125)"
2020/04/03/19:48:14.757873,"(-1.7417755126953125, -0.2920989990234375, -10.149017333984375)"
2020/04/03/19:48:14.859533,"(-1.7609405517578125, -0.2549896240234375, -10.133453369140625)"
2020/04/03/19:48:14.964934,"(-1.759735107421875, -0.2873077392578125, -10.177749633789062)"
2020/04/03/19:48:15.070441,"(-1.827972412109375, -0.2837066650390625, -10.155014038085938)"
2020/04/03/19:48:15.171844,"(-1.73699951171875, -0.289703369140625, -10.193313598632812)"
2020/04/03/19:48:15.277251,"(-1.60650634765625, -0.311248779296875, -10.210067749023438)"
2020/04/03/19:48:15.380780,"(-1.6723480224609375, -0.2765350341796875, -10.168167114257812)"
2020/04/03/19:48:15.483505,"(-1.7465667724609375, -0.227447509765625, -10.198104858398438)"
2020/04/03/19:48:15.585346,"(-1.6663665771484375, -0.2621612548828125, -10.218460083007812)"
2020/04/03/19:48:15.688484,"(-1.5346832275390625, -0.3160400390625, -10.182540893554688)"
2020/04/03/19:48:15.793884,"(-1.5442657470703125, -0.3280029296875, -10.199295043945312)"
2020/04/03/19:48:15.897216,"(-1.6496124267578125, -0.2920989990234375, -10.225631713867188)"
2020/04/03/19:48:16.001933,"(-1.6891021728515625, -0.243011474609375, -10.28070068359375)"
2020/04/03/19:48:16.106157,"(-1.6663665771484375, -0.2394256591796875, -10.253173828125)"
2020/04/03/19:48:16.210582,"(-1.6136932373046875, -0.296875, -10.199295043945312)"
2020/04/03/19:48:16.315601,"(-1.6519927978515625, -0.2884979248046875, -10.180145263671875)"
2020/04/03/19:48:16.419580,"(-1.574188232421875, -0.2837066650390625, -10.189727783203125)"
2020/04/03/19:48:16.524663,"(-1.5023651123046875, -0.2932891845703125, -10.253173828125)"
2020/04/03/19:48:16.629040,"(-1.5143280029296875, -0.2537841796875, -10.186126708984375)"
2020/04/03/19:48:16.730517,"(-1.5514373779296875, -0.2837066650390625, -10.156204223632812)"
2020/04/03/19:48:16.831364,"(-1.468841552734375, -0.3040618896484375, -10.230422973632812)"
2020/04/03/19:48:16.936412,"(-1.4018096923828125, -0.2884979248046875, -10.297454833984375)"
2020/04/03/19:48:17.040483,"(-1.4820098876953125, -0.237030029296875, -10.229232788085938)"
2020/04/03/19:48:17.145296,"(-1.304840087890625, -0.33160400390625, -10.16937255859375)"
2020/04/03/19:48:17.250146,"(-1.4089813232421875, -0.2813262939453125, -10.213668823242188)"
2020/04/03/19:48:17.353930,"(-1.373077392578125, -0.270538330078125, -10.20648193359375)"
2020/04/03/19:48:17.455785,"(-1.3072357177734375, -0.2992706298828125, -10.256759643554688)"
2020/04/03/19:48:17.556984,"(-1.367095947265625, -0.2777252197265625, -10.229232788085938)"
2020/04/03/19:48:17.663099,"(-1.3251953125, -0.2992706298828125, -10.189727783203125)"
2020/04/03/19:48:17.767572,"(-1.3994140625, -0.2561798095703125, -10.1968994140625)"
2020/04/03/19:48:17.870455,"(-1.4772186279296875, -0.2573699951171875, -10.213668823242188)"
2020/04/03/19:48:17.977929,"(-1.3994140625, -0.30645751953125, -10.188522338867188)"
2020/04/03/19:48:18.080004,"(-1.5598297119140625, -0.184356689453125, -10.194503784179688)"
2020/04/03/19:48:18.183894,"(-1.441314697265625, -0.2789306640625, -10.242401123046875)"
2020/04/03/19:48:18.291110,"(-1.5298919677734375, -0.2035064697265625, -10.2711181640625)"
2020/04/03/19:48:18.392433,"(-1.411376953125, -0.2837066650390625, -10.19091796875)"
2020/04/03/19:48:18.496926,"(-1.3623046875, -0.333984375, -10.177749633789062)"
2020/04/03/19:48:18.604822,"(-1.3311767578125, -0.307647705078125, -10.20648193359375)"
2020/04/03/19:48:18.705922,"(-1.2964630126953125, -0.264556884765625, -10.283096313476562)"
2020/04/03/19:48:18.811371,"(-1.422149658203125, -0.243011474609375, -10.285491943359375)"
2020/04/03/19:48:18.914166,"(-1.3802642822265625, -0.2537841796875, -10.281906127929688)"
2020/04/03/19:48:19.019076,"(-1.3120269775390625, -0.3148345947265625, -10.2220458984375)"
2020/04/03/19:48:19.123960,"(-1.2234344482421875, -0.30645751953125, -10.1968994140625)"
2020/04/03/19:48:19.227607,"(-1.2485809326171875, -0.332794189453125, -10.205291748046875)"
2020/04/03/19:48:19.328464,"(-1.273712158203125, -0.3088531494140625, -10.244781494140625)"
2020/04/03/19:48:19.432169,"(-1.3395538330078125, -0.237030029296875, -10.253173828125)"
2020/04/03/19:48:19.544651,"(-1.3455352783203125, -0.2621612548828125, -10.245986938476562)"
2020/04/03/19:48:19.639487,"(-1.314422607421875, -0.2729339599609375, -10.241195678710938)"
2020/04/03/19:48:19.744250,"(-1.2976531982421875, -0.264556884765625, -10.226837158203125)"
2020/04/03/19:48:19.848713,"(-1.1228790283203125, -0.348358154296875, -10.238800048828125)"
2020/04/03/19:48:19.952639,"(-1.2126617431640625, -0.2908935546875, -10.214859008789062)"
2020/04/03/19:48:20.059420,"(-1.221038818359375, -0.2657623291015625, -10.26513671875)"
2020/04/03/19:48:20.165722,"(-1.24737548828125, -0.2573699951171875, -10.26513671875)"
2020/04/03/19:48:20.267853,"(-1.2114715576171875, -0.26336669921875, -10.263946533203125)"
2020/04/03/19:48:20.371945,"(-1.2378082275390625, -0.289703369140625, -10.224441528320312)"
2020/04/03/19:48:20.479141,"(-1.035491943359375, -0.37109375, -10.295074462890625)"
2020/04/03/19:48:20.580557,"(-1.19830322265625, -0.26336669921875, -10.202896118164062)"
2020/04/03/19:48:20.686733,"(-1.215057373046875, -0.2813262939453125, -10.269927978515625)"
2020/04/03/19:48:20.789233,"(-1.2749176025390625, -0.31243896484375, -10.187332153320312)"
2020/04/03/19:48:20.891639,"(-1.168365478515625, -0.30645751953125, -10.240005493164062)"
2020/04/03/19:48:20.992038,"(-1.24737548828125, -0.2825164794921875, -10.247177124023438)"
2020/04/03/19:48:21.098133,"(-1.2018890380859375, -0.26934814453125, -10.26873779296875)"
2020/04/03/19:48:21.201269,"(-1.21624755859375, -0.2789306640625, -10.214859008789062)"
2020/04/03/19:48:21.304445,"(-1.1803436279296875, -0.295684814453125, -10.26873779296875)"
2020/04/03/19:48:21.413213,"(-1.162384033203125, -0.2813262939453125, -10.220840454101562)"
2020/04/03/19:48:21.514479,"(-1.209075927734375, -0.2561798095703125, -10.24957275390625)"
2020/04/03/19:48:21.618491,"(-1.2066802978515625, -0.2549896240234375, -10.198104858398438)"
2020/04/03/19:48:21.725702,"(-1.1540069580078125, -0.2873077392578125, -10.28070068359375)"
2020/04/03/19:48:21.828341,"(-1.152801513671875, -0.3040618896484375, -10.254364013671875)"
2020/04/03/19:48:21.931591,"(-1.1432342529296875, -0.284912109375, -10.26873779296875)"
2020/04/03/19:48:22.037797,"(-1.09295654296875, -0.305267333984375, -10.248382568359375)"
2020/04/03/19:48:22.141758,"(-1.100128173828125, -0.2813262939453125, -10.250778198242188)"
2020/04/03/19:48:22.248396,"(-1.0642242431640625, -0.31243896484375, -10.262741088867188)"
2020/04/03/19:48:22.348835,"(-1.066619873046875, -0.301666259765625, -10.257949829101562)"
2020/04/03/19:48:22.453635,"(-1.115692138671875, -0.3028717041015625, -10.267532348632812)"
2020/04/03/19:48:22.561470,"(-1.019927978515625, -0.2920989990234375, -10.211273193359375)"
2020/04/03/19:48:22.664030,"(-1.0642242431640625, -0.295684814453125, -10.236404418945312)"
2020/04/03/19:48:22.766321,"(-1.078582763671875, -0.26336669921875, -10.202896118164062)"
2020/04/03/19:48:22.870612,"(-0.9852142333984375, -0.3292083740234375, -10.2340087890625)"
2020/04/03/19:48:22.976456,"(-1.0426788330078125, -0.2980804443359375, -10.225631713867188)"
2020/04/03/19:48:23.082060,"(-0.9528961181640625, -0.3208160400390625, -10.269927978515625)"
2020/04/03/19:48:23.184131,"(-1.0498504638671875, -0.268157958984375, -10.254364013671875)"
2020/04/03/19:48:23.288222,"(-0.967254638671875, -0.3196258544921875, -10.281906127929688)"
2020/04/03/19:48:23.393958,"(-1.0019683837890625, -0.2813262939453125, -10.224441528320312)"
2020/04/03/19:48:23.497666,"(-0.9576873779296875, -0.3148345947265625, -10.218460083007812)"
2020/04/03/19:48:23.601887,"(-0.99957275390625, -0.289703369140625, -10.297454833984375)"
2020/04/03/19:48:23.706439,"(-0.98162841796875, -0.2980804443359375, -10.251968383789062)"
2020/04/03/19:48:23.809993,"(-0.99957275390625, -0.2825164794921875, -10.2591552734375)"
2020/04/03/19:48:23.915800,"(-0.99957275390625, -0.3160400390625, -10.275909423828125)"
2020/04/03/19:48:24.020242,"(-1.0223236083984375, -0.27532958984375, -10.278305053710938)"
2020/04/03/19:48:24.125022,"(-1.0343017578125, -0.286102294921875, -10.219650268554688)"
2020/04/03/19:48:24.230675,"(-0.970855712890625, -0.286102294921875, -10.275909423828125)"
2020/04/03/19:48:24.333951,"(-0.9265594482421875, -0.289703369140625, -10.248382568359375)"
2020/04/03/19:48:24.436067,"(-0.818817138671875, -0.307647705078125, -10.273513793945312)"
2020/04/03/19:48:24.542209,"(-0.85113525390625, -0.3292083740234375, -10.236404418945312)"
2020/04/03/19:48:24.645743,"(-0.87628173828125, -0.3160400390625, -10.225631713867188)"
2020/04/03/19:48:24.748913,"(-0.9277496337890625, -0.274139404296875, -10.23162841796875)"
2020/04/03/19:48:24.850180,"(-0.9217681884765625, -0.3136444091796875, -10.24359130859375)"
2020/04/03/19:48:24.955189,"(-0.902618408203125, -0.3292083740234375, -10.201690673828125)"
2020/04/03/19:48:25.055976,"(-0.9481048583984375, -0.2980804443359375, -10.232818603515625)"
2020/04/03/19:48:25.160898,"(-0.9014129638671875, -0.296875, -10.2220458984375)"
2020/04/03/19:48:25.262301,"(-0.9576873779296875, -0.27532958984375, -10.2591552734375)"
2020/04/03/19:48:25.368143,"(-0.9864044189453125, -0.2657623291015625, -10.267532348632812)"
2020/04/03/19:48:25.471275,"(-0.99957275390625, -0.268157958984375, -10.260345458984375)"
2020/04/03/19:48:25.576066,"(-1.0091552734375, -0.26336669921875, -10.2340087890625)"
2020/04/03/19:48:25.680680,"(-0.854736328125, -0.3280029296875, -10.232818603515625)"
2020/04/03/19:48:25.786526,"(-0.877471923828125, -0.311248779296875, -10.182540893554688)"
2020/04/03/19:48:25.884521,"(-0.8954315185546875, -0.30645751953125, -10.2220458984375)"
2020/04/03/19:48:25.987779,"(-0.9313507080078125, -0.3303985595703125, -10.257949829101562)"
2020/04/03/19:48:26.093683,"(-0.9313507080078125, -0.30645751953125, -10.216064453125)"
2020/04/03/19:48:26.196558,"(-0.8679046630859375, -0.2789306640625, -10.223236083984375)"
2020/04/03/19:48:26.301096,"(-0.883453369140625, -0.30047607421875, -10.250778198242188)"
2020/04/03/19:48:26.407297,"(-0.82958984375, -0.3627166748046875, -10.217254638671875)"
2020/04/03/19:48:26.509430,"(-0.8798675537109375, -0.295684814453125, -10.27471923828125)"
2020/04/03/19:48:26.614777,"(-0.787689208984375, -0.348358154296875, -10.263946533203125)"
2020/04/03/19:48:26.719130,"(-0.809234619140625, -0.3136444091796875, -10.241195678710938)"
2020/04/03/19:48:26.822819,"(-0.881072998046875, -0.2825164794921875, -10.26513671875)"
2020/04/03/19:48:26.927563,"(-0.9157867431640625, -0.268157958984375, -10.301055908203125)"
2020/04/03/19:48:27.031315,"(-0.9421234130859375, -0.2884979248046875, -10.254364013671875)"
2020/04/03/19:48:27.135813,"(-0.8607177734375, -0.2944793701171875, -10.22802734375)"
2020/04/03/19:48:27.242470,"(-0.854736328125, -0.2657623291015625, -10.186126708984375)"
2020/04/03/19:48:27.344320,"(-0.85711669921875, -0.3459625244140625, -10.199295043945312)"
2020/04/03/19:48:27.447276,"(-0.9169769287109375, -0.2573699951171875, -10.26513671875)"
2020/04/03/19:48:27.549309,"(-0.846343994140625, -0.259765625, -10.297454833984375)"
2020/04/03/19:48:27.656123,"(-0.9014129638671875, -0.2944793701171875, -10.261550903320312)"
2020/04/03/19:48:27.758841,"(-0.760162353515625, -0.322021484375, -10.279510498046875)"
2020/04/03/19:48:27.862060,"(-0.8355712890625, -0.2789306640625, -10.224441528320312)"
2020/04/03/19:48:27.966043,"(-0.8008575439453125, -0.2992706298828125, -10.293869018554688)"
2020/04/03/19:48:28.070463,"(-0.85113525390625, -0.2537841796875, -10.278305053710938)"
2020/04/03/19:48:28.176559,"(-0.8355712890625, -0.280120849609375, -10.3214111328125)"
2020/04/03/19:48:28.278932,"(-0.78289794921875, -0.295684814453125, -10.24957275390625)"
2020/04/03/19:48:28.380730,"(-0.738616943359375, -0.3292083740234375, -10.279510498046875)"
2020/04/03/19:48:28.482278,"(-0.7637481689453125, -0.33160400390625, -10.247177124023438)"
2020/04/03/19:48:28.586676,"(-0.8331756591796875, -0.2669525146484375, -10.304641723632812)"
2020/04/03/19:48:28.690583,"(-0.8379669189453125, -0.280120849609375, -10.283096313476562)"
2020/04/03/19:48:28.795406,"(-0.8164215087890625, -0.26336669921875, -10.2711181640625)"
2020/04/03/19:48:28.900130,"(-0.8236083984375, -0.2980804443359375, -10.236404418945312)"
2020/04/03/19:48:29.008466,"(-0.7673492431640625, -0.31243896484375, -10.263946533203125)"
2020/04/03/19:48:29.109288,"(-0.760162353515625, -0.30645751953125, -10.205291748046875)"
2020/04/03/19:48:29.214432,"(-0.78289794921875, -0.3028717041015625, -10.238800048828125)"
2020/04/03/19:48:29.318485,"(-0.7841033935546875, -0.2980804443359375, -10.242401123046875)"
2020/04/03/19:48:29.424203,"(-0.7374114990234375, -0.2980804443359375, -10.275909423828125)"
2020/04/03/19:48:29.528858,"(-0.738616943359375, -0.317230224609375, -10.232818603515625)"
2020/04/03/19:48:29.631889,"(-0.7864990234375, -0.295684814453125, -10.2711181640625)"
2020/04/03/19:48:29.736760,"(-0.7745208740234375, -0.27532958984375, -10.26513671875)"
2020/04/03/19:48:29.840191,"(-0.772125244140625, -0.2992706298828125, -10.31781005859375)"
2020/04/03/19:48:29.945322,"(-0.7577667236328125, -0.2908935546875, -10.244781494140625)"
2020/04/03/19:48:30.049686,"(-0.76495361328125, -0.3244171142578125, -10.24359130859375)"
2020/04/03/19:48:30.156682,"(-0.730224609375, -0.2765350341796875, -10.290283203125)"
2020/04/03/19:48:30.258362,"(-0.7254486083984375, -0.3411712646484375, -10.250778198242188)"
2020/04/03/19:48:30.363827,"(-0.7733306884765625, -0.317230224609375, -10.22802734375)"
2020/04/03/19:48:30.466470,"(-0.7888946533203125, -0.2920989990234375, -10.236404418945312)"
2020/04/03/19:48:30.571870,"(-0.70867919921875, -0.2920989990234375, -10.255569458007812)"
2020/04/03/19:48:30.675082,"(-0.72784423828125, -0.305267333984375, -10.24957275390625)"
2020/04/03/19:48:30.778804,"(-0.8583221435546875, -0.243011474609375, -10.330978393554688)"
2020/04/03/19:48:30.883365,"(-0.95050048828125, -0.56622314453125, -9.538497924804688)"
2020/04/03/19:48:30.989159,"(-0.8738861083984375, -0.3531494140625, -9.98980712890625)"
2020/04/03/19:48:31.093632,"(-0.9002227783203125, -0.1400604248046875, -10.790664672851562)"
2020/04/03/19:48:31.197400,"(-0.8583221435546875, -0.45849609375, -10.36090087890625)"
2020/04/03/19:48:31.303704,"(-0.8224029541015625, -0.2094879150390625, -9.481033325195312)"
2020/04/03/19:48:31.405352,"(-0.8164215087890625, 0.12091064453125, -11.641799926757812)"
2020/04/03/19:48:31.511092,"(-0.63446044921875, -0.666778564453125, -8.696945190429688)"
2020/04/03/19:48:31.614573,"(-0.6416473388671875, 0.1304779052734375, -11.354507446289062)"
2020/04/03/19:48:31.719633,"(-0.7841033935546875, -0.5147552490234375, -9.671371459960938)"
2020/04/03/19:48:31.823249,"(-0.9169769287109375, -0.1771697998046875, -10.425552368164062)"
2020/04/03/19:48:31.924007,"(-0.264556884765625, -0.70867919921875, -9.534912109375)"
2020/04/03/19:48:32.027873,"(-0.4297637939453125, -0.54827880859375, -10.129867553710938)"
2020/04/03/19:48:32.133215,"(-0.676361083984375, -0.1244964599609375, -10.71405029296875)"
2020/04/03/19:48:32.235958,"(-0.94451904296875, -0.110137939453125, -9.604339599609375)"
2020/04/03/19:48:32.339904,"(-0.9600677490234375, -0.1759796142578125, -11.911148071289062)"
2020/04/03/19:48:32.442905,"(-0.7864990234375, -0.812835693359375, -8.804672241210938)"
2020/04/03/19:48:32.543960,"(-0.5195465087890625, 0.1723785400390625, -11.842926025390625)"
2020/04/03/19:48:32.652269,"(-0.481231689453125, -0.91937255859375, -7.9750823974609375)"
2020/04/03/19:48:32.752421,"(-0.68115234375, 0.0179595947265625, -12.03924560546875)"
2020/04/03/19:48:32.855902,"(-0.64404296875, -0.27532958984375, -10.217254638671875)"
2020/04/03/19:48:32.957023,"(-0.6045379638671875, -0.4153900146484375, -9.919174194335938)"
2020/04/03/19:48:33.060941,"(-0.4201812744140625, -0.2657623291015625, -11.10430908203125)"
2020/04/03/19:48:33.166097,"(-0.7062835693359375, -0.735015869140625, -8.50421142578125)"
2020/04/03/19:48:33.270200,"(-0.9864044189453125, 0.248992919921875, -11.9554443359375)"
2020/04/03/19:48:33.371535,"(-0.8379669189453125, -0.5255279541015625, -8.452728271484375)"
2020/04/03/19:48:33.475559,"(-0.4524993896484375, -0.357940673828125, -11.285064697265625)"
2020/04/03/19:48:33.578972,"(-0.854736328125, -0.6308746337890625, -8.54132080078125)"
2020/04/03/19:48:33.679260,"(-0.9959869384765625, 0.18914794921875, -12.52166748046875)"
2020/04/03/19:48:33.781693,"(-0.6212921142578125, -0.40582275390625, -8.47308349609375)"
2020/04/03/19:48:33.887441,"(-0.59136962890625, -0.1759796142578125, -11.356903076171875)"
2020/04/03/19:48:33.990558,"(-0.9337310791015625, -0.4776458740234375, -8.957901000976562)"
2020/04/03/19:48:34.091985,"(-0.4405364990234375, -0.0706329345703125, -11.077972412109375)"
2020/04/03/19:48:34.194320,"(-0.5877838134765625, -0.1125335693359375, -9.749191284179688)"
2020/04/03/19:48:34.298949,"(-0.803253173828125, -0.1089324951171875, -10.696090698242188)"
2020/04/03/19:48:34.404116,"(-0.629669189453125, -0.4417266845703125, -9.815032958984375)"
2020/04/03/19:48:34.504987,"(-0.8008575439453125, -0.274139404296875, -10.024520874023438)"
2020/04/03/19:48:34.606275,"(-0.62847900390625, 0.15802001953125, -10.767929077148438)"
2020/04/03/19:48:34.711087,"(-1.3395538330078125, -0.416595458984375, -10.235214233398438)"
2020/04/03/19:48:34.817185,"(-0.7625579833984375, -0.22265625, -10.442306518554688)"
2020/04/03/19:48:34.920713,"(-0.781707763671875, -0.210693359375, -9.73602294921875)"
2020/04/03/19:48:35.025285,"(-1.1947021484375, 0.02752685546875, -10.710464477539062)"
2020/04/03/19:48:35.129776,"(-0.719451904296875, -0.3471527099609375, -9.683349609375)"
2020/04/03/19:48:35.231968,"(-0.7529754638671875, -0.094573974609375, -10.85052490234375)"
2020/04/03/19:48:35.332539,"(-0.7888946533203125, -0.6105194091796875, -9.439132690429688)"
2020/04/03/19:48:35.433706,"(-0.685943603515625, -0.1496429443359375, -11.001358032226562)"
2020/04/03/19:48:35.537268,"(-1.1109161376953125, -0.289703369140625, -10.019729614257812)"
2020/04/03/19:48:35.644230,"(-1.2916717529296875, -0.0059814453125, -11.29583740234375)"
2020/04/03/19:48:35.746431,"(-0.8487396240234375, -0.296875, -9.916778564453125)"
2020/04/03/19:48:35.849879,"(-0.73980712890625, -0.311248779296875, -10.620681762695312)"
2020/04/03/19:48:35.953786,"(-0.5901641845703125, -0.56024169921875, -9.716873168945312)"
2020/04/03/19:48:36.059331,"(-0.5566558837890625, -0.185546875, -10.67095947265625)"
2020/04/03/19:48:36.166057,"(-0.666778564453125, -0.27532958984375, -10.004165649414062)"
2020/04/03/19:48:36.269535,"(-0.6572113037109375, -0.3303985595703125, -10.72003173828125)"
2020/04/03/19:48:36.371688,"(-0.490814208984375, -0.30047607421875, -10.05206298828125)"
2020/04/03/19:48:36.479841,"(-0.487213134765625, -0.469268798828125, -10.301055908203125)"
2020/04/03/19:48:36.580080,"(-0.682342529296875, -0.5207366943359375, -9.74798583984375)"
