time,.x,.y,.z
2020/04/03/19:47:07.047283,-0.00187229207536,-0.00300494637499,0.000767050392149
2020/04/03/19:47:07.087487,-4.20966515241e-05,-0.00200769581286,1.19440132064e-05
2020/04/03/19:47:07.126474,0.0019702417031,0.000994831603641,-0.000804624530459
2020/04/03/19:47:07.168222,-0.00183019736181,-0.000997250874671,0.000755105576293
2020/04/03/19:47:07.200485,0.00248632455014,0.000985933860039,-0.000656355830119
2020/04/03/19:47:07.233999,0.00183019624889,0.000997246331858,-0.00075510782918
2020/04/03/19:47:07.264163,-0.00215238102539,-0.00300011808982,0.000866088263469
2020/04/03/19:47:07.294446,0.000140044814146,-2.41460983313e-06,-4.95181515187e-05
2020/04/03/19:47:07.324278,-0.000838267805011,-0.00199397006171,-3.7288913646e-05
2020/04/03/19:47:07.374584,-0.000182144425743,-0.00200528153683,6.14622827678e-05
2020/04/03/19:47:07.404134,0.00230418035946,-0.00101934690985,-0.000594891817505
2020/04/03/19:47:07.433071,0.00178809875039,-0.00101044652169,-0.000743162365735
2020/04/03/19:47:07.484010,0.00018214123396,0.00200528182701,-6.14620635457e-05
2020/04/03/19:47:07.524272,-0.00164805098445,0.00100802869392,0.000693645149588
2020/04/03/19:47:07.564055,-0.00065612638115,1.13117477902e-05,-9.87511964138e-05
2020/04/03/19:47:07.594294,0.00164805333799,-0.00100803239994,-0.000693645546413
2020/04/03/19:47:07.625500,-0.00097831559734,-0.00199155380473,1.22292378721e-05
2020/04/03/19:47:07.665286,0.0024442251736,-0.00102176151969,-0.000644409969024
2020/04/03/19:47:07.705926,0.000182144183659,0.0020052815589,-6.14621815896e-05
2020/04/03/19:47:07.737151,-0.000656126364215,1.13127300034e-05,-9.87511964138e-05
2020/04/03/19:47:07.777180,0.0,0.0,0.0
2020/04/03/19:47:07.819342,0.00167631002271,0.000630878441701,-0.00069364577674
2020/04/03/19:47:07.851092,-0.0018301947847,-0.00099725073486,0.000755107829182
2020/04/03/19:47:07.882682,0.000182141188536,0.00200528222383,-6.14621815883e-05
2020/04/03/19:47:07.913767,0.0016618940441,-0.0006392468676,-0.000705589742891
2020/04/03/19:47:07.944119,0.0,0.0,0.0
2020/04/03/19:47:07.974627,0.00032218605172,0.00200286742682,-0.000110980215064
2020/04/03/19:47:08.004176,0.000153887905159,0.00036636600354,-6.14626267817e-05
2020/04/03/19:47:08.034297,-0.000516081339423,8.89811653836e-06,-0.000148269810912
2020/04/03/19:47:08.063118,-0.000182147474197,-0.0020052808128,6.1462164725e-05
2020/04/03/19:47:08.093039,-0.00183019627757,-0.000997247995079,0.000755107829182
2020/04/03/19:47:08.123246,-0.000140044810529,2.4148196242e-06,4.95181515187e-05
2020/04/03/19:47:08.152391,0.00166189324194,-0.000639252312719,-0.000705589447334
2020/04/03/19:47:08.181332,-2.8255785069e-05,-0.00163891594706,2.30331009473e-10
2020/04/03/19:47:08.209914,-0.000153886235608,-0.000366365406258,6.14619343944e-05
2020/04/03/19:47:08.240485,-0.00169015210443,-0.000999662540876,0.000705588227424
2020/04/03/19:47:08.270022,0.000182141233023,0.00200528177266,-6.14620635458e-05
2020/04/03/19:47:08.300606,-0.000182144424806,-0.00200528148248,6.14622827678e-05
2020/04/03/19:47:08.350181,0.00198408304191,0.00136362008147,-0.000816570075999
2020/04/03/19:47:08.391267,-0.00131411515835,-0.00100614834066,0.000903376374467
2020/04/03/19:47:08.432543,-0.000210397155528,-0.0036441946596,6.14625130944e-05
2020/04/03/19:47:08.463370,-0.000502238775818,0.000377680181809,-0.000160214286167
2020/04/03/19:47:08.493365,-0.000614030010374,0.00201900837181,-0.000110695226483
2020/04/03/19:47:08.522658,-0.00169015060701,-0.000999665016666,0.000705588227424
2020/04/03/19:47:08.551808,-0.000796171178361,1.37273398365e-05,-4.92330448952e-05
2020/04/03/19:47:08.583035,0.00230417997546,-0.00101934719193,-0.000594893612683
2020/04/03/19:47:08.613411,-0.000182144471166,-0.00200528114001,6.1462164725e-05
2020/04/03/19:47:08.643645,0.000516081550069,-8.89812017026e-06,0.000148269347932
2020/04/03/19:47:08.675885,-4.20966515241e-05,-0.00200769581286,1.19440132064e-05
2020/04/03/19:47:08.705724,-4.20996570202e-05,-0.00200769574984,1.19440132064e-05
2020/04/03/19:47:08.745388,-0.00150800676495,0.00100561380564,0.000644125665873
2020/04/03/19:47:08.785806,0.0,0.0,0.0
2020/04/03/19:47:08.816394,-0.00183019368105,-0.000997255942682,0.000755107331176
2020/04/03/19:47:08.847786,0.00169014993826,0.000999663471826,-0.000705589677661
2020/04/03/19:47:08.877343,0.0,0.0,0.0
2020/04/03/19:47:08.920798,-0.00262636598361,-0.000983524586882,0.000705874784287
2020/04/03/19:47:08.960866,-0.00164805249345,0.0010080262268,0.000693645149588
2020/04/03/19:47:08.991046,0.00178809723776,-0.00101044919845,-0.000743162365735
2020/04/03/19:47:09.023226,-0.000182144471166,-0.00200528114001,6.1462164725e-05
2020/04/03/19:47:09.053782,0.0,0.0,0.0
2020/04/03/19:47:09.083574,0.0,0.0,0.0
2020/04/03/19:47:09.123260,-0.00182985632247,-0.000543380799286,0.000767049178224
2020/04/03/19:47:09.163127,-0.000656126364215,1.13127300034e-05,-9.87511964138e-05
2020/04/03/19:47:09.192727,0.00131411404335,0.00100614629723,-0.000903376189853
2020/04/03/19:47:09.232847,-0.00032218923989,-0.002002866927,0.000110980434286
2020/04/03/19:47:09.272980,0.00169014993826,0.000999663471826,-0.000705589677661
2020/04/03/19:47:09.303505,0.0,0.0,0.0
2020/04/03/19:47:09.334831,-0.00183019368105,-0.000997255942682,0.000755107331176
2020/04/03/19:47:09.366521,0.00181635542855,0.000628463939297,-0.000743162596061
2020/04/03/19:47:09.407843,0.00248632307421,0.000985937582035,-0.000656355830119
2020/04/03/19:47:09.448687,0.000516081563389,-8.89734760245e-06,0.000148269347932
2020/04/03/19:47:09.480197,0.00266846330807,0.00299122452883,-0.000717817448379
2020/04/03/19:47:09.520248,-0.00201233689312,-0.00300253197481,0.000816568543668
2020/04/03/19:47:09.560856,-0.00230417734866,0.00101934142392,0.000594893953174
2020/04/03/19:47:09.591965,-0.0023041788746,0.00101933797459,0.000594893953174
2020/04/03/19:47:09.621772,0.00138446228755,0.00465276097257,-0.000915320145958
2020/04/03/19:47:09.652117,-0.00032218923989,-0.002002866927,0.000110980434286
2020/04/03/19:47:09.692272,0.000656126364215,-1.13127300034e-05,9.87511964138e-05
2020/04/03/19:47:09.731907,-0.000182144425743,-0.00200528153683,6.14622827678e-05
2020/04/03/19:47:09.762419,-0.00135621191829,-0.00301384434904,0.000915320440385
2020/04/03/19:47:09.794799,0.000516081563389,-8.89734760245e-06,0.000148269347932
2020/04/03/19:47:09.825928,0.000516081550069,-8.89812017026e-06,0.000148269347932
2020/04/03/19:47:09.865716,0.000140044814146,-2.41460983313e-06,-4.95181515187e-05
2020/04/03/19:47:09.907986,2.82582385061e-05,0.00163891590476,-2.30331009469e-10
2020/04/03/19:47:09.937604,0.000796170988264,-1.37261443464e-05,4.92335078748e-05
2020/04/03/19:47:09.966445,0.00099192695871,-0.000996720543458,-0.000792396742826
2020/04/03/19:47:09.996013,-0.0016197986142,0.00264694193656,0.000693645712825
2020/04/03/19:47:10.025406,0.000168300607891,0.00163650184038,-4.9518381849e-05
2020/04/03/19:47:10.055593,-0.000627872501891,0.00165022745755,-9.87506331768e-05
2020/04/03/19:47:10.086217,0.000153887356713,0.000366366233908,-6.14626267817e-05
2020/04/03/19:47:10.116671,0.000182141187599,0.00200528216948,-6.14621815883e-05
2020/04/03/19:47:10.156472,-0.00131411666548,-0.00100614642779,0.000903376374467
2020/04/03/19:47:10.197397,-0.00204060103977,-0.00464144590373,0.000816569474302
2020/04/03/19:47:10.226972,0.000168303049704,0.00163650112392,-4.95183818492e-05
2020/04/03/19:47:10.258573,-0.00184403837704,-0.00136603024567,0.000767049293837
2020/04/03/19:47:10.297844,-0.000182141624055,-0.00200528126572,6.14620993931e-05
2020/04/03/19:47:10.337351,0.00117406988467,0.00100855906186,-0.000853859025594
2020/04/03/19:47:10.366622,-0.000656126364215,1.13127300034e-05,-9.87511964138e-05
2020/04/03/19:47:10.415766,0.0,0.0,0.0
2020/04/03/19:47:10.445461,0.0,0.0,0.0
2020/04/03/19:47:10.474604,0.00178810053266,-0.00101044611655,-0.000743161628417
2020/04/03/19:47:10.504788,0.00262636832139,0.000983523067095,-0.000705872068416
2020/04/03/19:47:10.535318,-0.000140044817761,2.41440018775e-06,4.95181515187e-05
2020/04/03/19:47:10.565307,-0.000614030017134,0.00201900797955,-0.000110695226485
2020/04/03/19:47:10.595769,0.000182141343306,0.00200528207688,-6.14621162566e-05
2020/04/03/19:47:10.636257,0.0,0.0,0.0
2020/04/03/19:47:10.675966,-0.00032218923989,-0.002002866927,0.000110980434286
2020/04/03/19:47:10.717069,0.0,0.0,0.0
2020/04/03/19:47:10.757185,0.000684382704918,0.00162760340197,9.87517596503e-05
2020/04/03/19:47:10.797486,-0.00121617251196,-0.0030162564098,0.000865801183561
2020/04/03/19:47:10.839747,0.00234627863238,0.000988353677707,-0.000606837180603
2020/04/03/19:47:10.869007,-0.000182141578632,-0.00200528166255,6.1462217436e-05
