time,.x,.y,.z,.w
2020/04/03/19:47:09.068521,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:09.097971,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:09.147724,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:09.177319,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:09.207381,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:09.257678,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:09.287431,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:09.317496,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:09.349953,0.00620016674872,0.719162942193,-0.00598679010134,0.694788010009
2020/04/03/19:47:09.381678,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:09.431525,0.00620016674872,0.719162942193,-0.00598679010134,0.694788010009
2020/04/03/19:47:09.463098,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:09.494534,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:09.545620,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:09.576029,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:09.606468,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:09.636692,0.00619841409435,0.719164269977,-0.00599034020869,0.694786620679
2020/04/03/19:47:09.666295,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:09.716835,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:09.746512,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:09.778305,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:09.810024,0.00619841409435,0.719164269977,-0.00599034020869,0.694786620679
2020/04/03/19:47:09.839617,0.00619872711275,0.719162775339,-0.00598899859738,0.694788176529
2020/04/03/19:47:09.891195,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:09.922750,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:09.951437,0.00619985113391,0.719164136153,-0.00598813439258,0.694786765392
2020/04/03/19:47:09.980376,0.00619922959217,0.719165951496,-0.00598955135141,0.694784879682
2020/04/03/19:47:10.010280,0.00619924947019,0.719163869553,-0.00598849329605,0.694787043621
2020/04/03/19:47:10.039884,0.00620069249151,0.7191644296,-0.00598628129001,0.69478647011
2020/04/03/19:47:10.070091,0.00620016076599,0.719162248318,-0.00598679629062,0.694788728227
2020/04/03/19:47:10.100710,0.00620011014693,0.719163457343,-0.00598766202815,0.694787469778
2020/04/03/19:47:10.130977,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:10.181002,0.0062007050378,0.719162937552,-0.00598731014593,0.694788005528
2020/04/03/19:47:10.211617,0.00620154380128,0.71916293032,-0.00598545972186,0.694788021472
2020/04/03/19:47:10.242256,0.00619925285943,0.719164262748,-0.00598848978826,0.694786636631
2020/04/03/19:47:10.272235,0.0061992654017,0.719162770699,-0.00598951864209,0.694788172046
2020/04/03/19:47:10.322481,0.00619979713102,0.71916495198,-0.00598900364107,0.694785913929
2020/04/03/19:47:10.351024,0.00619841409435,0.719164269977,-0.00599034020869,0.694786620679
2020/04/03/19:47:10.390560,0.00619787580427,0.719164274617,-0.00598982016514,0.694786625163
2020/04/03/19:47:10.430364,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:10.459619,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:10.488863,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:10.519734,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:10.549402,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:10.580080,0.00619787241579,0.719163881422,-0.0059898236737,0.694787032153
2020/04/03/19:47:10.610251,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:10.660650,0.00619926799349,0.719163071378,-0.00598951595922,0.694787860818
2020/04/03/19:47:10.690755,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:10.741790,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:10.771727,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:10.822890,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:10.854122,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:10.883400,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:10.912971,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:10.963429,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:10.996624,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:11.039704,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:11.069056,0.00619984774388,0.719163742958,-0.00598813790064,0.694787172383
2020/04/03/19:47:11.119925,0.00619872372378,0.719162382143,-0.00598900210545,0.694788583519
2020/04/03/19:47:11.159138,0.00619872711275,0.719162775339,-0.00598899859738,0.694788176529
2020/04/03/19:47:11.199881,0.00619841409435,0.719164269977,-0.00599034020869,0.694786620679
2020/04/03/19:47:11.231512,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:11.261106,0.00619931284393,0.719164140793,-0.00598761434892,0.694786769874
2020/04/03/19:47:11.301220,0.0061992554512,0.719164563426,-0.00598848710584,0.694786325403
2020/04/03/19:47:11.343128,0.00620010675722,0.719163064148,-0.00598766553544,0.694787876768
2020/04/03/19:47:11.374158,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:11.404489,0.00620064843639,0.719163452702,-0.00598818207234,0.694787465296
2020/04/03/19:47:11.435639,0.00619979713102,0.71916495198,-0.00598900364107,0.694785913929
2020/04/03/19:47:11.465492,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:11.496257,0.00620122479797,0.719163731085,-0.00598680752276,0.694787183847
2020/04/03/19:47:11.525738,0.0061992654017,0.719162770699,-0.00598951864209,0.694788172046
2020/04/03/19:47:11.576241,0.00619787241579,0.719163881422,-0.0059898236737,0.694787032153
2020/04/03/19:47:11.606660,0.00620069249151,0.7191644296,-0.00598628129001,0.69478647011
2020/04/03/19:47:11.657210,0.0061992554512,0.719164563426,-0.00598848710584,0.694786325403
2020/04/03/19:47:11.690120,0.00620154719225,0.719163323515,-0.00598545621538,0.694787614482
2020/04/03/19:47:11.721094,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:11.751191,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:11.781539,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:11.813915,0.00619931543608,0.719164441472,-0.00598761166652,0.694786458646
2020/04/03/19:47:11.844211,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:11.875298,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:11.905687,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:11.946456,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:11.987787,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:12.017578,0.00619841070557,0.719163876782,-0.00599034371756,0.69478702767
2020/04/03/19:47:12.047574,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:12.079065,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:12.109044,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:12.138994,0.00619984774388,0.719163742958,-0.00598813790064,0.694787172383
2020/04/03/19:47:12.189896,0.00619872970431,0.719163076018,-0.00598899591474,0.694787865301
2020/04/03/19:47:12.219648,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:12.269691,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:12.299847,0.00620017013893,0.719163335389,-0.00598678659409,0.694787603019
2020/04/03/19:47:12.329899,0.00620017013893,0.719163335389,-0.00598678659409,0.694787603019
2020/04/03/19:47:12.360217,0.00619931284393,0.719164140793,-0.00598761434892,0.694786769874
2020/04/03/19:47:12.400866,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:12.451403,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:12.484223,0.00620070842831,0.719163330748,-0.00598730663837,0.694787598538
2020/04/03/19:47:12.513946,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:12.543089,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:12.573412,0.00619979374149,0.719164558786,-0.00598900714917,0.69478632092
2020/04/03/19:47:12.614479,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:12.665250,0.00620070842831,0.719163330748,-0.00598730663837,0.694787598538
2020/04/03/19:47:12.696500,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:12.725663,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:12.758844,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:12.789141,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:12.828518,0.00619985113391,0.719164136153,-0.00598813439258,0.694786765392
2020/04/03/19:47:12.868674,0.0061992654017,0.719162770699,-0.00598951864209,0.694788172046
2020/04/03/19:47:12.908140,0.00619788178395,0.719164968489,-0.00598981397355,0.694785906944
2020/04/03/19:47:12.948400,0.00619841668577,0.719164570656,-0.00599033752544,0.694786309451
2020/04/03/19:47:12.982328,0.00619873309327,0.719163469214,-0.00598899240666,0.694787458311
2020/04/03/19:47:13.012903,0.00619985113391,0.719164136153,-0.00598813439258,0.694786765392
2020/04/03/19:47:13.046825,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:13.090562,0.00619634842306,0.719164588479,-0.00599233567807,0.69478629222
2020/04/03/19:47:13.140543,0.00619787241579,0.719163881422,-0.0059898236737,0.694787032153
2020/04/03/19:47:13.170116,0.00619931882581,0.719164834666,-0.00598760815877,0.694786051655
2020/04/03/19:47:13.199759,0.0061998571163,0.719164830026,-0.00598812820189,0.694786047173
2020/04/03/19:47:13.240082,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:13.290640,0.00619985372628,0.719164436831,-0.00598813170995,0.694786454164
2020/04/03/19:47:13.330465,0.00620070842831,0.719163330748,-0.00598730663837,0.694787598538
2020/04/03/19:47:13.359591,0.00619842007454,0.71916496385,-0.00599033401657,0.69478590246
2020/04/03/19:47:13.389215,0.00619787580427,0.719164274617,-0.00598982016514,0.694786625163
2020/04/03/19:47:13.422195,0.00619927138274,0.719163464574,-0.00598951245084,0.694787453828
2020/04/03/19:47:13.450706,0.00619787839546,0.719164575295,-0.00598981748212,0.694786313935
2020/04/03/19:47:13.480219,0.00619895535014,0.719164566013,-0.00599085793015,0.694786304964
2020/04/03/19:47:13.510124,0.00619928020139,0.719164742476,-0.00598868560852,0.694786138138
2020/04/03/19:47:13.539595,0.00620070842831,0.719163330748,-0.00598730663837,0.694787598538
