time,.data
2020/04/03/19:47:14.101871,"(37.48321533203125, -19.19097900390625, 15.875244140625)"
2020/04/03/19:47:14.198762,"(36.93084716796875, -19.012451171875, 15.5853271484375)"
2020/04/03/19:47:14.300741,"(36.7279052734375, -18.6492919921875, 14.32647705078125)"
2020/04/03/19:47:14.400409,"(37.48016357421875, -18.85528564453125, 15.87677001953125)"
2020/04/03/19:47:14.504259,"(35.84747314453125, -18.81866455078125, 14.6881103515625)"
2020/04/03/19:47:14.601989,"(37.1734619140625, -19.02313232421875, 16.2078857421875)"
2020/04/03/19:47:14.702934,"(36.309814453125, -18.6676025390625, 16.25213623046875)"
2020/04/03/19:47:14.795224,"(36.90643310546875, -18.84765625, 15.90423583984375)"
2020/04/03/19:47:14.896655,"(36.42120361328125, -18.8262939453125, 14.65911865234375)"
2020/04/03/19:47:14.994945,"(37.506103515625, -19.36492919921875, 15.55633544921875)"
2020/04/03/19:47:15.094833,"(37.3046875, -19.00177001953125, 14.2974853515625)"
2020/04/03/19:47:15.198287,"(37.5030517578125, -19.0185546875, 15.557861328125)"
2020/04/03/19:47:15.297795,"(36.3983154296875, -18.65234375, 14.97802734375)"
2020/04/03/19:47:15.397867,"(37.01324462890625, -18.65234375, 14.312744140625)"
2020/04/03/19:47:15.497796,"(37.19329833984375, -18.8507080078125, 15.8905029296875)"
2020/04/03/19:47:15.601395,"(37.19329833984375, -18.8507080078125, 15.8905029296875)"
2020/04/03/19:47:15.699171,"(36.4044189453125, -19.34356689453125, 14.97650146484375)"
2020/04/03/19:47:15.799513,"(36.138916015625, -19.15740966796875, 14.6728515625)"
2020/04/03/19:47:15.900855,"(37.48321533203125, -19.19097900390625, 15.875244140625)"
2020/04/03/19:47:16.004163,"(36.93389892578125, -19.3572998046875, 15.5853271484375)"
2020/04/03/19:47:16.103973,"(36.9873046875, -18.1427001953125, 14.63165283203125)"
2020/04/03/19:47:16.203428,"(36.883544921875, -18.6737060546875, 16.22314453125)"
2020/04/03/19:47:16.303954,"(37.48016357421875, -18.85528564453125, 15.87677001953125)"
