time,.x,.y,.z
2020/04/03/19:47:07.072033,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:07.101079,0.83809590279,-0.0144500828721,1.68473267608
2020/04/03/19:47:07.150734,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:07.183208,0.83809531806,-0.014448817799,1.6847313575
2020/04/03/19:47:07.215570,0.838095292459,-0.0144502265976,1.68473131036
2020/04/03/19:47:07.248452,0.838096680534,-0.0144488425642,1.68473118602
2020/04/03/19:47:07.278283,0.838095292459,-0.0144502265976,1.68473131036
2020/04/03/19:47:07.308633,0.838096680534,-0.0144488425642,1.68473118602
2020/04/03/19:47:07.348370,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:07.388382,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:07.418036,0.838096642818,-0.0144500956315,1.68473060684
2020/04/03/19:47:07.457349,0.838095312514,-0.0144500739706,1.68473193668
2020/04/03/19:47:07.498272,0.838094594113,-0.0144488065938,1.68473400592
2020/04/03/19:47:07.548090,0.838096654934,-0.0144502513621,1.68473113888
2020/04/03/19:47:07.578519,0.83809589882,-0.0144502370523,1.68473262894
2020/04/03/19:47:07.609214,0.838096676565,-0.0144489967416,1.68473113888
2020/04/03/19:47:07.639386,0.838095296429,-0.0144500724175,1.6847313575
2020/04/03/19:47:07.689537,0.838096664449,-0.014448841011,1.68473060684
2020/04/03/19:47:07.720753,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:07.751203,0.838096660479,-0.0144489951911,1.68473055969
2020/04/03/19:47:07.802676,0.838096654934,-0.0144502513621,1.68473113888
2020/04/03/19:47:07.834235,0.83809531409,-0.0144489719791,1.68473131036
2020/04/03/19:47:07.866583,0.838095330175,-0.0144489735296,1.68473188954
2020/04/03/19:47:07.898018,0.83809531806,-0.014448817799,1.6847313575
2020/04/03/19:47:07.927881,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:07.958768,0.838096658904,-0.0144500971847,1.68473118602
2020/04/03/19:47:07.988700,0.838096638901,-0.0144502467636,1.68473055969
2020/04/03/19:47:08.018832,0.838094590143,-0.0144489607713,1.68473395878
2020/04/03/19:47:08.048061,0.838096660444,-0.0144489972205,1.68473055969
2020/04/03/19:47:08.077518,0.838096664414,-0.0144488430404,1.68473060684
2020/04/03/19:47:08.107058,0.838095292424,-0.014450228627,1.68473131036
2020/04/03/19:47:08.137207,0.838096676565,-0.0144489967416,1.68473113888
2020/04/03/19:47:08.166356,0.838095314055,-0.0144489740085,1.68473131036
2020/04/03/19:47:08.194966,0.838096660444,-0.0144489972205,1.68473055969
2020/04/03/19:47:08.224349,0.838095296429,-0.0144500724175,1.6847313575
2020/04/03/19:47:08.254352,0.838096638848,-0.0144502498116,1.68473055969
2020/04/03/19:47:08.284891,0.83809531806,-0.014448817799,1.6847313575
2020/04/03/19:47:08.324857,0.838096660479,-0.0144489951911,1.68473055969
